CTYNAME,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015
Gooding County,15478,15375,15245,15144,15115,15284
Idaho County,16300,16466,16405,16211,16206,16272
Jefferson County,26219,26320,26653,26843,26988,27157
Jerome County,22461,22531,22526,22603,22789,22814
Kootenai County,138910,141056,142292,144289,147245,150346
Latah County,37278,37887,38179,38267,38585,38778
Lemhi County,7961,7992,7773,7726,7725,7735
Lewis County,3817,3793,3838,3817,3822,3789
Lincoln County,5216,5136,5256,5308,5304,5297
Madison County,37592,37900,37712,37628,38068,38273
Minidoka County,20082,20198,20119,20315,20304,20461
Nez Perce County,39335,39438,39566,39912,39932,40048
Oneida County,4294,4231,4229,4280,4205,4281
Owyhee County,11472,11401,11403,11398,11309,11310
Payette County,22637,22549,22673,22564,22820,22896
Power County,7851,7782,7810,7737,7678,7648
Shoshone County,12720,12658,12700,12676,12390,12432
Teton County,10157,10182,10089,10285,10307,10564
Twin Falls County,77541,78050,78507,79979,81109,82375
Valley County,9781,9606,9511,9576,9804,10103
Washington County,10195,10137,10045,9951,10008,9984
Illinois,12841249,12861882,12875167,12889580,12882189,12859995
Adams County,67154,67213,67164,66996,67018,67013
Alexander County,8214,8017,7712,7211,7098,6780
Bond County,17772,17673,17506,17310,17124,16950
Boone County,54123,54195,53838,53844,53793,53585
Brown County,6913,6873,6891,6859,6843,6829
Bureau County,34921,34651,34340,34091,33906,33587
Calhoun County,5082,5070,5025,5040,4963,4899
Carroll County,15382,15221,15068,14936,14790,14616
Cass County,13634,13633,13410,13297,13082,12847
Champaign County,201489,202681,204080,205785,207424,208861
Christian County,34785,34728,34526,34189,33917,33642
Clark County,16300,16224,16300,16154,16138,15979
Clay County,13813,13731,13735,13553,13463,13428
Clinton County,37826,38132,38056,37871,37802,37786
Coles County,53895,53610,53330,53027,52697,52521
Cook County,5199303,5215623,5232690,5246731,5248704,5238216
Crawford County,19811,19784,19627,19504,19375,19414
Cumberland County,11047,11073,10942,10898,10906,10898
DeKalb County,105177,104364,104261,104055,104693,104352
De Witt County,16586,16555,16503,16389,16246,16247
Douglas County,19957,19821,19820,19804,19864,19823
DuPage County,918145,924462,927997,932096,933769,933736
Edgar County,18510,18401,18163,17933,17800,17664
Edwards County,6728,6685,6731,6675,6621,6534
Effingham County,34224,34286,34362,34319,34321,34371
Fayette County,22129,22373,22123,22147,21993,22043
Ford County,14078,13947,13982,13800,13708,13736
Franklin County,40029,40012,39876,39581,39514,39485
Fulton County,37053,36945,36621,36383,35965,35699
Gallatin County,5586,5516,5419,5406,5318,5265
Greene County,13881,13849,13623,13500,13296,13241
Grundy County,50120,50068,50170,50172,50433,50541
Hamilton County,8453,8419,8363,8328,8298,8200
Hancock County,19085,19031,18891,18601,18626,18543
Hardin County,4305,4282,4259,4246,4219,4135
Henderson County,7332,7216,7051,6956,6994,6995
Henry County,50445,50305,50142,49804,49677,49489
Iroquois County,29675,29519,29294,28977,28802,28672
Jackson County,60381,60293,58966,59661,59388,59362
Jasper County,9707,9740,9643,9564,9619,9607
Jefferson County,38763,38764,38668,38659,38446,38353
Jersey County,22966,22862,22724,22614,22552,22372
Jo Daviess County,22649,22660,22522,22358,22357,22086
Johnson County,12610,12853,12908,12838,12783,12762
Kane County,516069,519940,521840,524302,527501,530847
Kankakee County,113450,113527,112988,112239,111473,110879
Kendall County,115303,116809,118360,119838,121816,123355
Knox County,52930,52691,52295,52154,51977,51441
Lake County,704294,701094,701494,703841,704149,703910
LaSalle County,113835,113682,113136,112743,112001,111333
Lawrence County,16927,16828,16674,16736,16596,16491
Lee County,35930,35531,35113,35019,34886,34584
Livingston County,38871,38839,38522,37412,37000,36671
Logan County,30274,30307,30381,29876,29720,29494
McDonough County,32607,32478,32500,32142,31591,31333
McHenry County,309119,307815,307610,307043,306975,307343
McLean County,169858,170813,172599,174882,174110,173166
Macon County,110780,110630,110103,109550,108381,107303
Macoupin County,47791,47797,47180,46846,46354,46045
Madison County,269384,268583,268092,267263,266635,266209
Marion County,39447,39004,38913,38588,38483,38339
Marshall County,12626,12492,12276,12116,11998,11982
Mason County,14652,14483,14343,14190,13914,13701
Massac County,15408,15321,15150,14969,14876,14766
Menard County,12707,12723,12723,12599,12566,12444
Mercer County,16415,16353,16199,16146,15978,15858
Monroe County,33011,33235,33330,33558,33695,33879
Montgomery County,30090,29836,29608,29339,29058,28898
Morgan County,35519,35513,35358,35022,34924,34828
Moultrie County,14855,14919,14974,14920,14892,14931
Ogle County,53440,53149,52820,52335,52023,51659
Peoria County,186218,186632,187115,188406,187185,186221
Perry County,22328,22289,21863,21752,21602,21543
Piatt County,16723,16685,16521,16437,16447,16387
Pike County,16386,16362,16267,16115,15989,15989
Pope County,4455,4490,4330,4338,4269,4226
Pulaski County,6134,6002,5967,5893,5816,5678
Putnam County,5999,5973,5881,5817,5795,5644
Randolph County,33458,33337,32988,33122,33048,32852
Richland County,16216,16231,16181,16092,16103,16029
Rock Island County,147632,147431,147713,147626,146903,146133
St. Clair County,270364,270024,268655,266863,265552,264052
Saline County,24931,24953,24969,24868,24579,24548
Sangamon County,197797,198933,199296,199034,199103,198712
Schuyler County,7542,7469,7456,7362,7238,7032
Scott County,5335,5233,5292,5208,5166,5092
Shelby County,22359,22302,22245,22186,22069,21775
Stark County,5970,5841,5939,5891,5835,5788
Stephenson County,47656,47365,46939,46719,46352,45749
Tazewell County,135478,135787,136126,136242,135532,134800
Union County,17746,17690,17627,17559,17471,17408
Vermilion County,81613,81386,80804,80530,79837,79282
Wabash County,11905,11820,11723,11626,11549,11542
Warren County,17714,17844,17729,17606,17801,17527
Washington County,14701,14588,14609,14426,14394,14270
Wayne County,16746,16623,16619,16597,16515,16423
White County,14611,14592,14557,14497,14346,14327
Whiteside County,58496,58226,57785,57452,57084,57079
Will County,678910,680667,682369,684054,685621,687263
Williamson County,66440,66750,66776,67351,67263,67466
Winnebago County,295101,293669,291971,290902,288574,287078
Woodford County,38655,38936,38952,39179,39234,39227
Indiana,6490590,6516845,6538283,6570518,6597880,6619680
Adams County,34455,34374,34429,34671,34756,34980
Allen County,355890,358782,360859,363473,365701,368450
Bartholomew County,76846,77630,78924,79505,80220,81162
Benton County,8856,8856,8807,8717,8697,8681
Blackford County,12750,12668,12541,12473,12401,12298
Boone County,56845,57884,59062,60458,61805,63344
Brown County,15200,15064,15054,15029,14932,14977
Carroll County,20183,20088,20122,20101,19904,19856
Cass County,38974,38879,38697,38491,38336,37979
Clark County,110557,111553,111908,112771,114301,115371
Clay County,26853,26881,26827,26735,26483,26503
Clinton County,33203,33035,32944,32913,32672,32609
Crawford County,10716,10608,10649,10586,10627,10483
Daviess County,31744,31951,32150,32303,32745,32906
Dearborn County,50099,50009,49754,49755,49423,49455
Decatur County,25791,25886,26058,26224,26511,26521
DeKalb County,42293,42457,42303,42387,42508,42589
Delaware County,117692,117824,117364,117435,117201,116852
Dubois County,41906,42197,42098,42335,42364,42461
Elkhart County,197471,198509,199229,200476,201739,203474
Fayette County,24333,24157,23957,23853,23466,23434
Floyd County,74708,75037,75355,76098,76233,76778
Fountain County,17271,17139,17108,16878,16723,16591
Franklin County,23062,23000,22984,22920,22898,22872
Fulton County,20818,20750,20653,20435,20483,20315
Gibson County,33554,33567,33577,33576,33845,33775
Grant County,69935,69609,69228,69031,68631,67979
Greene County,33166,33090,33012,32798,32733,32441
Hamilton County,276501,283340,289761,297097,303278,309697
Hancock County,70223,70396,70669,71090,71963,72520
Harrison County,39352,39215,39068,39051,39238,39578
Hendricks County,145863,148607,150707,153585,156083,158192
Henry County,49488,49360,49262,49051,49072,48985
Howard County,82731,82851,82900,82825,82693,82556
Huntington County,37116,37187,36993,36818,36686,36630
Jackson County,42578,42935,43032,43514,43803,44069
Jasper County,33514,33415,33478,33412,33464,33470
Jay County,21172,21370,21363,21274,21147,21121
Jefferson County,32423,32302,32518,32501,32529,32416
Jennings County,28475,28204,28189,28281,27996,27897
Johnson County,140281,141766,143579,145759,147489,149633
Knox County,38389,38467,38046,38023,37845,37927
Kosciusko County,77340,77363,77610,77876,78445,78620
LaGrange County,37156,37480,37618,38049,38462,38809
Lake County,495987,494788,493192,491560,490574,487865
LaPorte County,111454,111223,111223,111376,111695,110884
Lawrence County,46124,46079,46036,45845,45615,45495
Madison County,131637,131018,130259,130401,129999,129723
Marion County,904668,910861,918748,928515,934531,939020
Marshall County,47009,46960,46992,46986,47013,46857
Martin County,10368,10332,10318,10223,10209,10226
Miami County,36797,36587,36499,36124,35983,35862
Monroe County,138557,140322,141324,142097,143571,144705
Montgomery County,38087,38321,38168,38086,38060,38227
Morgan County,69169,69201,69195,69381,69590,69648
Newton County,14240,14115,14062,14029,14072,14008
Noble County,47476,47466,47434,47501,47595,47733
Ohio County,6110,6086,6107,6026,6008,5938
Orange County,19802,19905,19692,19736,19686,19605
Owen County,21582,21516,21363,21175,21034,20872
Parke County,17285,17110,17097,17199,17227,16901
Perry County,19417,19467,19419,19449,19387,19347
Pike County,12850,12759,12779,12660,12641,12594
Porter County,164550,165510,165765,166578,167308,167688
Posey County,25857,25686,25620,25497,25520,25512
Pulaski County,13356,13291,13063,13011,12979,12889
Putnam County,37908,37850,37647,37507,37660,37585
Randolph County,26180,26017,25850,25600,25341,25172
Ripley County,28835,28749,28569,28493,28548,28701
Rush County,17367,17316,17134,17001,16834,16672
St. Joseph County,266797,266701,266524,266885,267679,268441
Scott County,24173,23928,23765,23800,23678,23744
Shelby County,44319,44368,44371,44455,44531,44478
Spencer County,20880,21045,20863,20827,20831,20715
Starke County,23357,23207,23193,23188,23037,22958
Steuben County,34137,34064,34164,34328,34406,34372
Sullivan County,21411,21237,21215,21174,21003,20928
Switzerland County,10625,10565,10397,10523,10490,10524
Tippecanoe County,173048,175549,178426,181290,183670,185826
Tipton County,15879,15851,15728,15588,15429,15267
Union County,7532,7472,7334,7284,7225,7182
Vanderburgh County,179856,180357,180854,181521,181918,181877
Vermillion County,16140,16107,15950,15858,15694,15692
Vigo County,107896,108323,108594,108324,108201,107896
Wabash County,32854,32585,32435,32351,32282,32138
Warren County,8501,8474,8386,8377,8330,8269
Warrick County,59850,60241,60481,61089,61267,61897
Washington County,28284,28178,27928,27814,27904,27827
Wayne County,68900,68754,68287,67839,67447,67001
Wells County,27674,27751,27705,27733,27827,27964
White County,24684,24506,24395,24339,24408,24293
Whitley County,33348,33305,33287,33242,33412,33406
Iowa,3050694,3065389,3076636,3092224,3109481,3123899
Adair County,7665,7562,7488,7436,7417,7228
Adams County,4026,3996,3907,3892,3871,3796
Allamakee County,14350,14199,14123,14033,14061,13886
Appanoose County,12860,12857,12697,12633,12628,12529
Audubon County,6111,6018,5881,5880,5793,5773
Benton County,26057,26130,25850,25718,25659,25658
Black Hawk County,131174,131454,131734,132716,133121,133455
Boone County,26279,26340,26239,26363,26420,26643
Bremer County,24286,24363,24459,24553,24598,24722
Buchanan County,20959,20894,20957,20988,21087,21062
Buena Vista County,20324,20247,20541,20574,20680,20493
Butler County,14905,14953,14987,15004,14972,14915
Calhoun County,10172,10064,9916,9913,9857,9818
Carroll County,20828,20849,20675,20571,20554,20498
Cass County,13935,13783,13722,13592,13424,13427
Cedar County,18489,18418,18397,18339,18380,18340
Cerro Gordo County,44114,43972,43714,43491,43211,43017
Cherokee County,12110,12023,11959,11894,11817,11574
Chickasaw County,12426,12420,12282,12222,12197,12097
Clarke County,9312,9313,9348,9256,9223,9259
Clay County,16633,16609,16571,16478,16520,16507
Clayton County,18081,17991,17926,17766,17702,17644
Clinton County,49111,49110,48719,48299,47929,47768
Crawford County,17162,17247,17322,17391,17205,17094
Dallas County,66697,69804,72205,74804,77516,80133
Davis County,8771,8752,8689,8749,8752,8769
Decatur County,8421,8262,8258,8246,8257,8220
Delaware County,17771,17650,17573,17489,17419,17403
Des Moines County,40255,40096,40259,40420,40211,40055
Dickinson County,16668,16889,16975,16934,16928,17111
Dubuque County,93924,94612,95227,95981,96587,97125
Emmet County,10282,10079,9963,9909,9866,9769
Fayette County,20857,20975,20814,20530,20370,20257
Floyd County,16299,16098,16106,16060,16027,15960
Franklin County,10692,10686,10523,10519,10423,10295
Fremont County,7430,7372,7143,7068,7039,6906
Greene County,9350,9318,9171,9143,9204,9027
Grundy County,12459,12469,12431,12321,12377,12435
Guthrie County,10947,10865,10775,10676,10709,10676
Hamilton County,15640,15457,15327,15333,15179,15190
Hancock County,11307,11277,11166,11055,10987,10974
Hardin County,17537,17395,17386,17444,17371,17367
Harrison County,14927,14796,14522,14417,14337,14265
Henry County,20112,20281,20063,20145,19962,19950
Howard County,9560,9542,9580,9495,9441,9410
Humboldt County,9798,9790,9724,9675,9624,9555
Ida County,7069,7079,7091,7131,7025,7028
Iowa County,16337,16353,16221,16353,16390,16401
Jackson County,19830,19721,19692,19542,19460,19444
Jasper County,36816,36638,36552,36747,36866,36827
Jefferson County,16825,17043,17148,17359,17486,17555
Johnson County,131291,133733,136923,139851,142421,144251
Jones County,20676,20738,20606,20495,20496,20466
Keokuk County,10498,10365,10398,10306,10225,10163
Kossuth County,15526,15376,15359,15275,15224,15165
Lee County,35837,35590,35609,35349,35210,35089
Linn County,211676,214028,215301,216137,217819,219916
Louisa County,11364,11369,11330,11292,11179,11185
Lucas County,8892,8835,8753,8712,8673,8682
Lyon County,11567,11715,11770,11684,11695,11745
Madison County,15734,15738,15644,15473,15611,15753
Mahaska County,22401,22506,22411,22395,22342,22324
Marion County,33231,33311,33312,33068,33257,33294
Marshall County,40694,40993,41092,41085,40896,40746
Mills County,15056,15010,14846,14854,14754,14844
Mitchell County,10806,10718,10747,10725,10788,10832
Monona County,9234,9255,9136,9091,8979,8979
Monroe County,7984,8040,8059,7974,7965,7973
Montgomery County,10702,10658,10563,10434,10438,10234
Muscatine County,42735,42777,42900,42939,42939,43011
O'Brien County,14397,14202,14167,14039,14066,13984
Osceola County,6451,6310,6184,6205,6203,6154
Page County,15942,15925,15746,15558,15543,15527
Palo Alto County,9393,9360,9279,9164,9105,9133
Plymouth County,24969,24833,24874,24907,24851,24800
Pocahontas County,7277,7210,7156,7137,7125,7008
Polk County,432270,437860,444069,451866,460341,467711
Pottawattamie County,93368,93463,92897,92828,93207,93671
Poweshiek County,18907,18863,18772,18641,18701,18550
Ringgold County,5122,5093,5078,5033,5033,5068
Sac County,10352,10230,10171,10042,10043,10021
Scott County,165744,167058,168836,170513,171437,172126
Shelby County,12163,12034,12082,11956,11962,11927
Sioux County,33732,34037,34343,34529,34699,34937
Story County,89633,90956,91868,93627,95456,96021
Tama County,17729,17625,17534,17500,17400,17337
Taylor County,6315,6278,6234,6198,6150,6205
Union County,12519,12570,12604,12608,12626,12469
Van Buren County,7559,7511,7454,7438,7415,7344
Wapello County,35645,35437,35356,35371,35240,35173
Warren County,46333,46682,46977,47444,47979,48626
Washington County,21697,21829,21919,22003,22087,22247
Wayne County,6399,6367,6361,6419,6387,6385
Webster County,37876,37733,37305,37312,37053,37071
Winnebago County,10839,10731,10637,10489,10606,10609
Winneshiek County,21065,21039,21048,20872,20750,20709
Woodbury County,102364,102660,102387,102333,102486,102782
Worth County,7583,7580,7523,7537,7608,7569
Wright County,13197,13047,13018,12969,12872,12773
Kansas,2858824,2869917,2886281,2894630,2902507,2911641
Allen County,13354,13347,13343,13088,12912,12717
Anderson County,8092,8044,7910,7842,7877,7808
Atchison County,16869,16779,16793,16703,16491,16398
Barber County,4838,4915,4869,4915,4870,4823
Barton County,27682,27684,27526,27426,27258,27103
Bourbon County,15143,14923,14847,14804,14776,14712
Brown County,9978,9994,9883,9941,9804,9776
Butler County,65913,65870,65800,65868,66183,66741
Chase County,2791,2794,2754,2701,2683,2679
Chautauqua County,3647,3614,3566,3546,3474,3402
Cherokee County,21550,21371,21205,20903,20748,20533
Cheyenne County,2720,2702,2672,2672,2687,2679
Clark County,2201,2136,2179,2196,2120,2096
Clay County,8540,8516,8510,8396,8337,8347
Cloud County,9526,9397,9395,9355,9331,9219
Coffey County,8592,8520,8513,8429,8444,8384
Comanche County,1888,1886,1910,1921,1949,1843
Cowley County,36301,36237,36264,36185,35920,35788
Crawford County,39177,39200,39385,39343,39374,39217
Decatur County,2945,2918,2877,2909,2890,2932
Dickinson County,19779,19706,19733,19479,19360,19303
Doniphan County,7948,7947,7867,7839,7846,7797
Douglas County,111242,112415,113255,114651,116463,118053
Edwards County,3051,3025,2979,2962,3022,2968
Elk County,2873,2794,2674,2647,2693,2605
Ellis County,28444,28774,29100,29055,29006,29029
Ellsworth County,6517,6470,6474,6387,6375,6343
Finney County,36957,37141,37150,37111,37147,37118
Ford County,34040,34427,34787,34954,34865,34536
Franklin County,26011,25891,25874,25778,25614,25609
Geary County,35285,35301,37949,36935,36722,37030
Gove County,2680,2686,2717,2758,2706,2640
Graham County,2605,2638,2589,2594,2555,2591
Grant County,7834,7884,7831,7840,7792,7733
Gray County,6024,6104,5991,6001,6095,6133
Greeley County,1258,1252,1268,1288,1305,1330
Greenwood County,6673,6602,6436,6374,6311,6244
Hamilton County,2705,2631,2636,2597,2593,2474
Harper County,6019,5939,5865,5853,5832,5817
Harvey County,34741,34715,34820,34768,34797,35073
Haskell County,4274,4217,4197,4101,4073,4064
Hodgeman County,1915,1987,1965,1956,1914,1893
Jackson County,13470,13444,13419,13333,13464,13338
Jefferson County,19133,18970,18907,18827,18854,18930
Jewell County,3067,3090,3040,3058,3030,2970
Johnson County,545789,553010,559960,566979,573964,580159
Kearny County,3990,3963,3981,3921,3941,3956
Kingman County,7842,7896,7829,7829,7708,7687
Kiowa County,2562,2556,2504,2527,2530,2564
Labette County,21542,21424,21209,20927,20876,20803
Lane County,1737,1763,1701,1717,1687,1670
Leavenworth County,76544,77106,77735,78195,78784,79315
Lincoln County,3234,3210,3165,3137,3153,3105
Linn County,9636,9605,9483,9519,9496,9536
Logan County,2774,2766,2797,2786,2793,2825
Lyon County,33642,33650,33542,33538,33243,33339
McPherson County,29141,29216,29353,29590,29161,28941
Marion County,12665,12544,12377,12219,12208,12103
Marshall County,10109,10004,10065,10022,9998,9936
Meade County,4592,4524,4396,4298,4367,4330
Miami County,32874,32711,32620,32817,32740,32553
Mitchell County,6347,6294,6332,6318,6255,6282
Montgomery County,35382,34772,34469,34389,33977,33314
Morris County,5911,5859,5852,5715,5678,5645
Morton County,3237,3171,3137,3141,3075,3007
Nemaha County,10171,10129,10112,10153,10175,10227
Neosho County,16495,16466,16461,16452,16390,16346
Ness County,3107,3126,3084,3088,3083,3005
Norton County,5658,5666,5594,5614,5525,5550
Osage County,16291,16339,16174,16085,15955,15847
Osborne County,3836,3842,3816,3808,3763,3683
Ottawa County,6095,6087,6063,6062,6054,5975
Pawnee County,6970,7018,6899,6918,6884,6838
Phillips County,5624,5535,5511,5549,5483,5428
Pottawatomie County,21714,22022,22332,22624,22849,23298
Pratt County,9645,9656,9778,9802,9770,9691
Rawlins County,2503,2540,2536,2587,2555,2506
Reno County,64567,64409,64232,64150,63781,63718
Republic County,4944,4899,4845,4790,4773,4725
Rice County,10105,10092,10002,9991,10008,9977
Riley County,71605,73344,76295,75551,74675,75247
Rooks County,5181,5193,5209,5179,5171,5174
Rush County,3318,3199,3206,3178,3187,3130
Russell County,6992,6970,6975,6954,7001,7039
Saline County,55774,55719,55856,55758,55650,55691
Scott County,4951,4905,4872,4924,4976,4964
Sedgwick County,499315,501042,504167,506570,509294,511574
Seward County,22982,23197,23394,23333,23296,23152
Shawnee County,178353,178966,179011,178722,178537,178725
Sheridan County,2550,2543,2532,2529,2541,2512
Sherman County,6010,6034,6109,6080,6063,5983
Smith County,3861,3793,3756,3707,3739,3704
Stafford County,4421,4383,4345,4341,4296,4236
Stanton County,2248,2219,2163,2166,2127,2072
Stevens County,5742,5637,5749,5822,5845,5806
Sumner County,24096,23844,23703,23608,23498,23535
Thomas County,7942,7949,7946,7971,7855,7904
Trego County,2990,2977,2969,2967,2916,2927
Wabaunsee County,7032,7027,7002,7019,6988,6951
Wallace County,1484,1524,1527,1565,1514,1518
Washington County,5782,5832,5729,5641,5628,5598
Wichita County,2241,2262,2234,2193,2174,2157
Wilson County,9404,9248,9124,9090,8988,8856
Woodson County,3305,3312,3266,3207,3157,3115
Wyandotte County,157678,158031,159472,161009,162147,163369
Kentucky,4347937,4367882,4382667,4398500,4412617,4425092
Adair County,18618,18721,18688,18858,18967,19027
Allen County,20033,20168,20240,20293,20436,20640
Anderson County,21452,21552,21658,21732,21886,21979
Ballard County,8258,8285,8302,8270,8213,8212
Barren County,42122,42365,42634,42982,43073,43570
Bath County,11613,11708,11797,11995,12164,12228
Bell County,28710,28634,28154,27912,27713,27337
Boone County,119351,121615,123186,124383,126190,127712
Bourbon County,19945,19985,19986,19960,20019,20116
Boyd County,49622,49400,49246,48904,48709,48325
Boyle County,28636,28754,28979,29610,29788,29809
Bracken County,8503,8503,8473,8440,8388,8321
Breathitt County,13854,13830,13637,13569,13433,13484
Breckinridge County,20037,20269,20081,20040,19899,20018
Bullitt County,74506,75296,75926,76842,78041,78702
Butler County,12719,12763,12791,12802,12879,12938
Caldwell County,12989,12983,12927,12794,12744,12681
Calloway County,37365,37676,38034,38258,38221,38343
Campbell County,90614,91180,91178,91214,91737,92066
Carlisle County,5101,5049,5042,4980,4974,4874
Carroll County,10804,10977,10868,10857,10751,10699
Carter County,27733,27411,27450,27370,27240,27158
Casey County,15952,15953,16074,16089,15844,15808
Christian County,74158,73584,75652,74284,73965,73309
Clark County,35613,35465,35755,35599,35710,35757
Clay County,21685,21604,21535,21226,21123,21013
Clinton County,10273,10157,10251,10164,10195,10174
Crittenden County,9314,9276,9250,9207,9192,9183
Cumberland County,6860,6869,6859,6802,6748,6759
Daviess County,96713,97208,97820,98244,98336,99259
Edmonson County,12192,12267,12135,12083,12031,12007
Elliott County,7882,7915,7749,7668,7647,7648
Estill County,14695,14634,14484,14450,14435,14375
Fayette County,296717,301291,305525,308829,311399,314488
Fleming County,14401,14491,14539,14544,14510,14637
Floyd County,39934,39794,39139,38463,38095,37756
Franklin County,49310,49377,49536,49611,49992,50375
Fulton County,6813,6719,6532,6370,6250,6238
Gallatin County,8610,8583,8502,8506,8606,8636
Garrard County,16946,16825,16953,16932,16934,17237
Grant County,24681,24712,24491,24542,24846,24757
Graves County,37222,37518,37534,37384,37654,37421
Grayson County,25800,25786,25849,26005,26144,26221
Green County,11236,11213,11309,11167,11047,11010
Greenup County,36900,36837,36702,36481,36299,36068
Hancock County,8551,8599,8663,8669,8720,8692
Hardin County,107016,107457,107100,108188,108463,106439
Harlan County,29225,29163,28605,28473,28056,27703
Harrison County,18816,18681,18602,18550,18643,18763
Hart County,18195,18327,18409,18482,18533,18454
Henderson County,46254,46358,46434,46347,46432,46407
Henry County,15382,15360,15321,15403,15573,15620
Hickman County,4869,4810,4750,4721,4707,4612
Hopkins County,46863,46870,46679,46517,46304,46222
Jackson County,13497,13403,13304,13403,13324,13352
Jefferson County,742228,746174,751111,757516,760621,763623
Jessamine County,48712,48961,49544,50188,50988,51961
Johnson County,23397,23437,23427,23474,23239,23175
Kenton County,160014,160667,161815,163494,164045,165012
Knott County,16331,16281,16069,16045,15913,15693
Knox County,31858,32070,31691,31829,31727,31730
Larue County,14192,14194,14071,14065,14172,14241
Laurel County,58988,59352,59559,59712,60036,60094
Lawrence County,15883,15910,15830,15835,15783,15745
Lee County,7708,7687,7545,6833,6777,6752
Leslie County,11284,11273,11135,10985,10882,10711
Letcher County,24550,24419,23932,23516,23365,23123
Lewis County,13832,13843,13822,13767,13835,13682
Lincoln County,24751,24704,24407,24433,24484,24463
Livingston County,9536,9500,9441,9352,9355,9316
Logan County,26843,26814,26683,26964,26882,26910
Lyon County,8318,8428,8436,8449,8392,8306
McCracken County,65531,65780,65609,65333,65300,65018
McCreary County,18291,18272,18049,17919,17886,17878
McLean County,9513,9522,9519,9495,9451,9512
Madison County,83195,84230,84924,85523,86687,87824
Magoffin County,13305,13208,13023,12911,12946,12808
Marion County,19818,20031,19995,19993,19199,19365
Marshall County,31468,31271,31274,31210,31047,31101
Martin County,12896,12879,12765,12680,12524,12307
Mason County,17499,17534,17447,17282,17120,17099
Meade County,28732,29679,29305,29320,29260,27924
Menifee County,6358,6408,6316,6331,6304,6358
Mercer County,21345,21269,21346,21299,21388,21407
Metcalfe County,10120,10074,9989,9962,9992,9909
Monroe County,10965,10903,10842,10705,10707,10667
Montgomery County,26551,26750,26873,27240,27366,27608
Morgan County,13747,13721,13475,13341,13326,13275
Muhlenberg County,31638,31501,31357,31261,31243,31183
Nelson County,43608,44023,44370,44500,44800,45126
Nicholas County,7123,7097,7028,7030,7088,7131
Ohio County,23845,23992,24048,24019,24050,24216
Oldham County,60433,60767,62145,63161,64237,64875
Owen County,10844,10820,10756,10615,10633,10730
Owsley County,4768,4823,4684,4600,4511,4461
Pendleton County,14903,14650,14529,14549,14433,14408
Perry County,28694,28730,28272,28013,27626,27565
Pike County,64950,64666,64275,63602,62835,61792
Powell County,12645,12623,12476,12483,12385,12269
Pulaski County,63208,63415,63484,63694,63798,63782
Robertson County,2273,2287,2214,2214,2188,2138
Rockcastle County,17067,17114,17076,16744,16835,16942
Rowan County,23345,23505,23423,23539,23681,23892
Russell County,17558,17663,17545,17704,17769,17662
Scott County,47446,48040,49053,50050,51327,52420
Shelby County,42276,42936,43667,44286,44929,45632
Simpson County,17353,17324,17578,17747,17864,18006
Spencer County,17109,17347,17406,17551,17688,17894
Taylor County,24561,24730,24803,24894,25120,25420
Todd County,12429,12431,12644,12491,12522,12531
Trigg County,14344,14199,14390,14292,14134,14233
Trimble County,8802,8800,8818,8799,8729,8769
Union County,15287,15273,15108,15103,15154,15050
Warren County,114210,115518,116936,118844,120601,122851
Washington County,11742,11780,11871,11883,11955,12063
Wayne County,20831,20872,20776,20675,20486,20464
Webster County,13595,13543,13472,13381,13220,13170
Whitley County,35748,35651,35627,35779,35784,36129
Wolfe County,7352,7362,7190,7260,7232,7259
Woodford County,25031,24925,25058,25268,25539,25793
Maine,1327695,1328257,1328888,1328778,1330256,1329328
Androscoggin County,107706,107403,107558,107365,107408,107233
Aroostook County,71721,71335,70729,69971,69361,68628
Cumberland County,281462,282758,284103,285882,287875,289977
Franklin County,30719,30716,30634,30464,30206,29991
Hancock County,54370,54546,54548,54800,54738,54659
Kennebec County,122104,121785,121657,121114,121026,119980
Knox County,39715,39692,39635,39635,39798,39855
Lincoln County,34388,34278,34213,34171,34149,33969
Oxford County,57773,57775,57501,57326,57301,57202
Penobscot County,153871,153822,153607,153527,153535,152692
Piscataquis County,17546,17359,17269,17183,17040,16931
Sagadahoc County,35233,35102,35114,35033,35063,35149
Somerset County,52250,51932,51855,51727,51260,51113
Waldo County,38816,38816,38914,38970,39025,39155
Washington County,32824,32711,32519,32235,31863,31625
York County,197197,198227,199032,199375,200608,201169
Maryland,5788409,5844171,5890740,5936040,5975346,6006401
Allegany County,75024,74592,73982,73637,73008,72528
Anne Arundel County,539308,545084,550700,556134,560286,564195
Baltimore County,806171,813210,818533,824130,827794,831128
Calvert County,88947,89288,89665,90458,90562,90595
Caroline County,33072,32927,32635,32639,32525,32579
Carroll County,167205,167256,167197,167460,167682,167627
Cecil County,101164,101644,101767,101871,102135,102382
Charles County,147137,149265,150796,152904,154687,156118
Dorchester County,32656,32694,32479,32587,32527,32384
Frederick County,234196,237338,239569,241159,243475,245322
Garrett County,30087,30106,29899,29950,29652,29460
Harford County,245239,246710,248642,249240,249949,250290
Howard County,288634,293921,299684,304850,308705,313414
Kent County,20199,20237,19983,19814,19793,19787
Montgomery County,976179,993068,1006472,1019164,1030476,1040116
Prince George's County,865912,875277,882971,892941,903357,909535
Queen Anne's County,47824,48333,48531,48507,48726,48904
